date,icon,title,content,url
20230101,landmark,State DHCD Guidelines for Compliance,MA Dept. of Housing and Community Development detailed guidelines for compliance by towns.,https://www.mass.gov/doc/compliance-guidelines-for-multi-family-zoning-districts-under-section-3a-of-the-zoning-act/download
20230101,landmark,State Housing Partnership,MA Housing Partnership round up of information on MBTA communities.,https://www.mhp.net/community/complete-neighborhoods-initiative
20230101,landmark,Housing Partnership Webinars,MA Housing Partnership recorded videos discussing how towns can approach the MBTA communities planning process.,https://www.mhp.net/news/2022/register-for-mhps-mbta-community-webinar-series
20230101,landmark,MA State resources for communities,Comprehensive list of resources for town or city planners around the law.,https://www.mass.gov/info-details/resources-for-mbta-communities
20230101,landmark,MA EOHLC replaces DHCD,Executive Office of Housing and Livable Communities is the new name of the DHCD.,https://www.mass.gov/orgs/executive-office-of-housing-and-livable-communities
20230101,landmark,MA Compliance tools,Compliance tools and maps for communities to certify MBTA Communities law status.,https://www.mass.gov/info-details/compliance-model-components
20221201,info,Lincoln Institute articles on law,Series of land policy think tank articles on the MBTA Communities law.,https://www.lincolninst.edu/publications/working-papers/series-articles-about-mbta-communities-zoning-law
20221117,landmark,DPCD Presentation to Arlington - video,,https://youtu.be/S57fwCBcVh0
20221117,landmark,DPCD Presentation to Arlington - slide deck,,https://www.arlingtonma.gov/home/showpublisheddocument/63101/638046184302430000
20201231,landmark,MGA Housing Choice Legislation,"MA legislation updating MGL c.40A, changing voting thresholds for towns to change local zoning laws.",https://www.mass.gov/info-details/housing-choice-legislation
,blog,Equitable Arlington advocacy group,"Equitable Arlington envisions a vibrant, diverse, sustainable, and inclusive Arlington, where people at every stage of life and at all income levels can find a home.",https://equitable-arlington.org/
,blog,Arlington Residents For Responsible Redevelopment,"A grass-roots group in Arlington, MA working to ensure that redevelopment is in the best interests of our residents and businesses.",https://arfrr.org
,blog,Stephen Revilak meeting notes,"Meeting notes (unofficial) from MBTA Communities WG meetings, among other meetings.",https://www.srevilak.net/wiki/Public_Meetings
,newspaper,"Your Arlington town planning coverage ",Listing of all Your Arlington articles on MBTA Communities or zoning issues.,https://yourarlington.com/arlington-archives/town-school/planning.html
